Crop	Scientific name 	Dependence on pollinators	Dependence rate	Pollinator group	Order	Family	Species	reference	doi/link	Obs
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Exomalopsis sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Frieseomelitta longipes	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Frieseomelitta portoi	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Melipona flavolineata	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Nannotrigona dutrae	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Nannotrigona punctata	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Oxytrigona ignis	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Oxytrigona sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Paratrigona peltata	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Partamona testacea	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Partamona ailyae	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Partamona pearsoni	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
